loc,cyclomatic_complexity,num_functions,num_files_changed,issue_id,project_name,era,real_issue_type,defect_prone_strict
205,1.3571428571428572,28,3,CAMEL-120,CAMEL,pre_ai,Improvement,0
192,6.666666666666667,6,2,CAMEL-100,CAMEL,pre_ai,Improvement,0
532,1.8541666666666667,48,3,CAMEL-141,CAMEL,pre_ai,Improvement,0
709,1.7701149425287357,87,9,CAMEL-10,CAMEL,pre_ai,New Feature,0
202,1.2222222222222223,18,1,CAMEL-150,CAMEL,pre_ai,Bug,1
499,1.6774193548387097,62,5,CAMEL-152,CAMEL,pre_ai,New Feature,0
1093,2.0306122448979593,98,10,CAMEL-146,CAMEL,pre_ai,New Feature,0
128,1.6875,16,1,CAMEL-134,CAMEL,pre_ai,Improvement,0
211,2.235294117647059,17,3,CAMEL-133,CAMEL,pre_ai,Improvement,0
1234,1.9022556390977443,133,9,CAMEL-137,CAMEL,pre_ai,Improvement,0
202,3.25,12,5,CAMEL-153,CAMEL,pre_ai,New Feature,0
65,2.5,4,1,CAMEL-156,CAMEL,pre_ai,Improvement,0
82,1.0,14,1,CAMEL-155,CAMEL,pre_ai,Improvement,0
988,1.8189655172413792,116,7,CAMEL-154,CAMEL,pre_ai,Bug,1
260,2.0434782608695654,23,4,CAMEL-158,CAMEL,pre_ai,Bug,1
504,1.627906976744186,86,1,CAMEL-163,CAMEL,pre_ai,Improvement,0
84,2.857142857142857,7,1,CAMEL-160,CAMEL,pre_ai,Bug,1
114,1.5833333333333333,12,2,CAMEL-128,CAMEL,pre_ai,New Feature,0
231,1.411764705882353,34,5,CAMEL-139,CAMEL,pre_ai,New Feature,0
166,1.1785714285714286,28,5,CAMEL-140,CAMEL,pre_ai,Bug,1
1376,1.3476394849785407,233,8,CAMEL-149,CAMEL,pre_ai,New Feature,0
665,3.1052631578947367,57,4,CAMEL-167,CAMEL,pre_ai,New Feature,0
1013,1.9891304347826086,92,14,CAMEL-119,CAMEL,pre_ai,Sub-task,0
67,3.3333333333333335,3,1,CAMEL-162,CAMEL,pre_ai,Improvement,0
21,1.0,3,1,CAMEL-175,CAMEL,pre_ai,New Feature,0
872,1.2312925170068028,147,12,CAMEL-165,CAMEL,pre_ai,New Feature,0
66,1.0,11,1,CAMEL-138,CAMEL,pre_ai,Improvement,0
919,2.4776119402985075,67,12,CAMEL-45,CAMEL,pre_ai,New Feature,0
597,1.5616438356164384,73,6,CAMEL-176,CAMEL,pre_ai,Improvement,0
2422,2.1218274111675126,197,40,CAMEL-121,CAMEL,pre_ai,Sub-task,0
360,1.608695652173913,46,3,CAMEL-178,CAMEL,pre_ai,Improvement,0
568,1.9420289855072463,69,5,CAMEL-143,CAMEL,pre_ai,Improvement,0
274,1.2448979591836735,49,2,CAMEL-181,CAMEL,pre_ai,Improvement,0
351,2.0,49,1,CAMEL-187,CAMEL,pre_ai,Bug,1
86,2.857142857142857,7,1,CAMEL-191,CAMEL,pre_ai,Bug,1
312,1.2857142857142858,49,4,CAMEL-196,CAMEL,pre_ai,Improvement,0
1225,2.075,120,7,CAMEL-192,CAMEL,pre_ai,Bug,1
352,1.4807692307692308,52,2,CAMEL-198,CAMEL,pre_ai,Improvement,0
104,1.3125,16,1,CAMEL-204,CAMEL,pre_ai,Improvement,0
102,4.333333333333333,6,1,CAMEL-205,CAMEL,pre_ai,Bug,1
50,3.6666666666666665,3,1,CAMEL-206,CAMEL,pre_ai,Improvement,0
1176,1.265625,192,11,CAMEL-202,CAMEL,pre_ai,Improvement,0
124,3.5555555555555554,9,1,CAMEL-213,CAMEL,pre_ai,Bug,1
1855,1.1912225705329154,319,18,CAMEL-197,CAMEL,pre_ai,Bug,1
79,1.3333333333333333,9,1,CAMEL-215,CAMEL,pre_ai,New Feature,0
316,1.8461538461538463,39,2,CAMEL-210,CAMEL,pre_ai,Bug,1
131,1.1538461538461537,26,2,CAMEL-211,CAMEL,pre_ai,Bug,1
216,3.235294117647059,17,1,CAMEL-194,CAMEL,pre_ai,Bug,1
57,1.8333333333333333,6,1,CAMEL-189,CAMEL,pre_ai,Bug,1
62,1.1666666666666667,12,1,CAMEL-219,CAMEL,pre_ai,Improvement,0
414,1.5178571428571428,56,6,CAMEL-218,CAMEL,pre_ai,Improvement,0
145,3.7777777777777777,9,1,CAMEL-221,CAMEL,pre_ai,Improvement,0
